evidence_id,source_id,initiative_id,university_id,direction,dimension,factual_statement,institutional_level,temporal_status,last_verified,workflow_status,created_by,verified_by,limitations
ev-pucv-011,src-pucv-006,ini-pucv-005,pucv,AMBOS,vinculacion,La Facultad y la Escuela de Derecho se adjudican dos proyectos de Vinculación con el Medio en 2026.,CENTRO_PROGRAMA,CONTINUA,2026-09-04,CONTRASTADO,intento-2a; intento-2b; intento-3a; intento-3b,Diego Hernán Ojeda Cifuentes,"Financiamiento concursable, no basal. Los montos no están publicados."
ev-pucv-012,src-pucv-010,ini-pucv-005,pucv,AMBOS,vinculacion,El Laboratorio de Innovación Legal y el Programa de Derecho e IA se adjudican fondos internos en 2025.,CENTRO_PROGRAMA,CONTINUA,2026-09-04,CONTRASTADO,intento-3a,Diego Hernán Ojeda Cifuentes,Junto con la adjudicación de 2026 documenta financiamiento competitivo en dos años consecutivos.
ev-pucv-013,src-pucv-007,ini-pucv-006,pucv,IA_PARA_DERECHO,gobernanza,"La universidad presenta un decálogo para el uso ético de la IA en docencia, elaborado por la Unidad de Integridad Académica y liderado por una profesora de Derecho.",INSTITUCIONAL_UNIVERSIDAD,NUEVA,2026-09-04,CONTRASTADO,intento-2a; intento-2b; intento-3a; intento-3b,Diego Hernán Ojeda Cifuentes,Lineamiento universitario. No es política propia de la Escuela de Derecho.
ev-pucv-014,src-pucv-013,ini-pucv-007,pucv,IA_PARA_DERECHO,uso-institucional,Desde marzo de 2026 la universidad habilita Gemini integrado a su entorno institucional para la comunidad académica y administrativa.,INSTITUCIONAL_UNIVERSIDAD,NUEVA,2026-09-04,CONTRASTADO,intento-3b,Diego Hernán Ojeda Cifuentes,"Demuestra acceso institucional, no adopción efectiva en Derecho."
ev-pucv-015,src-pucv-008,ini-pucv-008,pucv,AMBOS,vinculacion,"La Facultad ejecuta un workshop internacional para alumni sobre manejo, gobernanza e implementación responsable de IA en el ámbito legal.",FACULTAD_DERECHO,NUEVA,2026-09-04,CONTRASTADO,intento-2b,Diego Hernán Ojeda Cifuentes,Actividad puntual con expositor internacional.
ev-pucv-016,src-pucv-011,ini-pucv-009,pucv,ADYACENTE,vinculacion,La cuarta versión de Innova Day incluye un panel sobre automatización e inteligencia artificial.,FACULTAD_DERECHO,CONTINUA,2026-09-04,CONTRASTADO,intento-3a,Diego Hernán Ojeda Cifuentes,La actividad general es ADYACENTE: sólo el panel aporta evidencia específica de IA.
ev-puc-chile-001,src-puc-chile-001,ini-puc-chile-001,puc-chile,ADYACENTE,gobernanza,"El sitio oficial del Programa de Derecho, Ciencia y Tecnología mantiene publicados un diplomado y un curso en Derecho e IA junto a otras líneas tecnológicas.",CENTRO_PROGRAMA,CONTINUA,,FUENTE_ABIERTA,intento-2a,,"La página no declara fecha ni presupuesto: prueba existencia y oferta, no continuidad ni recursos."
ev-puc-chile-002,src-puc-chile-009,ini-puc-chile-001,puc-chile,ADYACENTE,gobernanza,"La Dirección Superior formaliza a Matías Aránguiz como director del Programa de Derecho, Ciencia y Tecnología.",CENTRO_PROGRAMA,CONTINUA,,PROPUESTO,intento-3a,,El documento fuente declara que no logró abrir el original: la evidencia queda PROPUESTA.
ev-puc-chile-003,src-puc-chile-002,ini-puc-chile-002,puc-chile,AMBOS,formacion-continua,La Facultad documenta la graduación de la generación 2024 de los diplomados del Programa.,CENTRO_PROGRAMA,CONTINUA,2026-09-04,CONTRASTADO,intento-2a,Diego Hernán Ojeda Cifuentes,"Acredita ejecución de una cohorte; no informa matrícula, deserción ni resultados de aprendizaje."
ev-puc-chile-004,src-puc-chile-003,ini-puc-chile-002,puc-chile,AMBOS,formacion-continua,La Facultad documenta la graduación de la generación 2025 de los diplomados del Programa.,CENTRO_PROGRAMA,CONTINUA,2026-09-04,CONTRASTADO,intento-2a; intento-3b,Diego Hernán Ojeda Cifuentes,"Segunda cohorte documentada: es serie temporal, no evaluación."
ev-puc-chile-005,src-puc-chile-011,ini-puc-chile-002,puc-chile,AMBOS,formacion-continua,"El Diplomado en Derecho e Inteligencia Artificial está en ejecución entre el 04-08-2026 y el 10-12-2026, con 180 horas y la Facultad de Derecho como unidad responsable.",CENTRO_PROGRAMA,CONTINUA,2026-09-04,CONTRASTADO,intento-3a,Diego Hernán Ojeda Cifuentes,Prueba oferta y duración; no informa matrícula real.
ev-puc-chile-006,src-puc-chile-004,ini-puc-chile-003,puc-chile,ADYACENTE,gobernanza,"La Facultad anuncia la creación del Departamento de Derecho y Tecnología, dirigido por Raúl Madrid.",FACULTAD_DERECHO,NUEVA,2026-09-04,CONTRASTADO,intento-2a; intento-3a; intento-3b,Diego Hernán Ojeda Cifuentes,Es el anuncio de creación. El acto formal —resolución o documento constitutivo— no se ha localizado.
ev-puc-chile-007,src-puc-chile-005,ini-puc-chile-003,puc-chile,ADYACENTE,gobernanza,La estructura orgánica publicada de la Facultad lista el Departamento de Derecho y Tecnología como unidad formal.,FACULTAD_DERECHO,NUEVA,2026-09-04,CONTRASTADO,intento-3a,Diego Hernán Ojeda Cifuentes,Es el único respaldo orgánico publicado de todo el corpus para una unidad nueva.
ev-puc-chile-008,src-puc-chile-007,ini-puc-chile-003,puc-chile,ADYACENTE,gobernanza,La fuente identifica a Raúl Madrid como director del Departamento de Derecho y Tecnología recientemente creado.,FACULTAD_DERECHO,NUEVA,2026-09-04,CONTRASTADO,intento-2b,Diego Hernán Ojeda Cifuentes,Es una noticia de seminario: corrobora la existencia del Departamento de forma incidental.
ev-puc-chile-009,src-puc-chile-008,ini-puc-chile-004,puc-chile,IA_PARA_DERECHO,gobernanza,"La Facultad establece una guía ética que regula autonomía docente, transparencia, conservación de registros, infracciones y verificación oral en el uso de IA generativa.",FACULTAD_DERECHO,NUEVA,2026-09-04,CONTRASTADO,intento-2a; intento-2b; intento-3a; intento-3b,Diego Hernán Ojeda Cifuentes,Gobernanza dictada por la Facultad. No consta su aplicación ni su supervisión.
ev-puc-chile-010,src-puc-chile-006,ini-puc-chile-005,puc-chile,IA_PARA_DERECHO,uso-institucional,"El decano informa la oficialización, en el formulario de condiciones y evaluaciones, de la opción de que los profesores integren IA en sus cursos.",FACULTAD_DERECHO,NUEVA,,FUENTE_ABIERTA,intento-2a; intento-3a,,"Prueba el mecanismo formal, no su adopción: cuántos cursos lo activaron no consta."
ev-puc-chile-011,src-puc-chile-012,ini-puc-chile-006,puc-chile,IA_PARA_DERECHO,uso-institucional,"La universidad ofrece AyudantIA, que permite crear agentes de IA generativa por curso e integrarlos con sus plataformas.",INSTITUCIONAL_UNIVERSIDAD,DESCONOCIDA,2026-09-04,CONTRASTADO,intento-2a,Diego Hernán Ojeda Cifuentes,La fuente no identifica a la Facultad de Derecho ni cursos jurídicos: la atribución es a la universidad.
ev-puc-chile-012,src-puc-chile-010,ini-puc-chile-007,puc-chile,DERECHO_DE_IA,vinculacion,"El Programa realiza un seminario sobre el impacto jurídico de la inteligencia artificial en Chile, México y Estados Unidos.",CENTRO_PROGRAMA,DESCONOCIDA,,FUENTE_ABIERTA,intento-2a,,Actividad puntual de vinculación.
ev-uchile-001,src-uchile-001,ini-uchile-001,uchile,ADYACENTE,gobernanza,La historia institucional del CE3 documenta su genealogía desde 1988 y el cambio de nombre el 01-01-2025.,CENTRO_PROGRAMA,CONTINUA,,FUENTE_ABIERTA,intento-2a,,Es infraestructura de derecho y tecnología; no acredita por sí sola actividad específica en IA.
ev-uchile-002,src-uchile-007,ini-uchile-001,uchile,ADYACENTE,gobernanza,"El balance del CE3 reconstruye su actividad de 2025 en materia de investigación, docencia y vinculación.",CENTRO_PROGRAMA,CONTINUA,,FUENTE_ABIERTA,intento-2a; intento-3a,,Publicada el 08-01-2026 y probatoria de 2025: la fecha de publicación no es la del hecho. Los juicios de liderazgo son autoevaluación.
ev-uchile-003,src-uchile-011,ini-uchile-001,uchile,ADYACENTE,gobernanza,Alberto Cerda asume la dirección del CE3 mediante nombramiento confirmado por el Consejo de Facultad.,CENTRO_PROGRAMA,CONTINUA,,FUENTE_ABIERTA,intento-3a,,Prueba conducción formal del centro.
ev-uchile-004,src-uchile-010,ini-uchile-001,uchile,ADYACENTE,gobernanza,El CE3 organiza una actividad sobre la excepción de derechos de autor para el entrenamiento de sistemas de IA.,CENTRO_PROGRAMA,CONTINUA,,FUENTE_ABIERTA,intento-2b; intento-3b,,Actividad de extensión: por sí sola no eleva institucionalización.
ev-uchile-005,src-uchile-012,ini-uchile-001,uchile,ADYACENTE,gobernanza,La Facultad realiza un seminario sobre inteligencia artificial y acceso a la justicia en dos jornadas.,CENTRO_PROGRAMA,CONTINUA,,FUENTE_ABIERTA,intento-3a,,Actividad puntual.
ev-uchile-006,src-uchile-002,ini-uchile-002,uchile,AMBOS,formacion-continua,"La página del Diploma en Derecho e Inteligencia Artificial de 2022 describe fundamentos de IA, regulación, ética, propiedad intelectual, responsabilidad y derechos fundamentales.",CENTRO_PROGRAMA,CONTINUA,2026-09-04,CONTRASTADO,intento-2a,Diego Hernán Ojeda Cifuentes,"Página histórica: prueba la edición 2022, no la oferta vigente."
ev-uchile-007,src-uchile-003,ini-uchile-002,uchile,AMBOS,formacion-continua,"La Facultad ofrece el Diploma en Derecho e IA en el segundo semestre de 2026, con el CE3 como unidad académica.",CENTRO_PROGRAMA,CONTINUA,2026-09-04,CONTRASTADO,intento-2a; intento-2b; intento-3a,Diego Hernán Ojeda Cifuentes,Sustituye la dependencia en las ediciones 2022 y 2023 como única prueba de continuidad.
ev-uchile-008,src-uchile-004,ini-uchile-003,uchile,DERECHO_DE_IA,investigacion,"El Departamento de Derecho Privado desarrolla un proyecto sobre IA, responsabilidad civil y derecho del consumo, adjudicado como proyecto de internacionalización.",EQUIPO,CONTINUA,,FUENTE_ABIERTA,intento-2a,,El monto no está publicado y la fuente no declara fecha.
ev-uchile-009,src-uchile-008,ini-uchile-003,uchile,DERECHO_DE_IA,investigacion,La Facultad realiza un congreso internacional sobre los desafíos de la IA en el derecho privado.,EQUIPO,CONTINUA,,PROPUESTO,intento-2a; intento-3a,,Dos documentos fuente le atribuyen fechas distintas: la evidencia queda PROPUESTA hasta abrir el original.
ev-uchile-010,src-uchile-009,ini-uchile-003,uchile,DERECHO_DE_IA,investigacion,La Facultad realiza un workshop sobre IA y derecho privado con casos prácticos.,EQUIPO,CONTINUA,,FUENTE_ABIERTA,intento-2a,,Corrobora continuidad del proyecto; no informa asistencia ni resultados.
ev-uchile-011,src-uchile-005,ini-uchile-004,uchile,AMBOS,investigacion,"El repositorio del CE3 lista tesis sobre IA judicial, propiedad intelectual y transparencia algorítmica entre 2008 y 2025.",CENTRO_PROGRAMA,CONTINUA,,FUENTE_ABIERTA,intento-2a,,Producción formativa acumulada; no informa cuántas corresponden a cada año.
ev-uchile-012,src-uchile-006,ini-uchile-004,uchile,AMBOS,investigacion,El índice general del repositorio del CE3 mantiene una categoría específica de inteligencia artificial.,CENTRO_PROGRAMA,CONTINUA,,FUENTE_ABIERTA,intento-3a,,Corrobora la anterior; no agrega un hecho nuevo.
ev-uchile-013,src-uchile-013,ini-uchile-005,uchile,AMBOS,vinculacion,El CE3 convoca un Programa de Visitas Académicas latinoamericano con estadías de cuatro a seis semanas.,CENTRO_PROGRAMA,NUEVA,2026-09-04,CONTRASTADO,intento-3b,Diego Hernán Ojeda Cifuentes,"Convocatoria abierta al corte: programada, no ejecutada."
ev-uchile-014,src-uchile-014,ini-uchile-006,uchile,AMBOS,formacion-continua,El registro institucional documenta un Diploma en Derecho e IA para funcionarios de la Contraloría General de la República entre julio y noviembre de 2025.,FACULTAD_DERECHO,DESCONOCIDA,,PROPUESTO,intento-3a,,El documento fuente declara timeout al abrir el original: la evidencia queda PROPUESTA.
ev-uchile-015,src-uchile-015,ini-uchile-007,uchile,IA_PARA_DERECHO,gobernanza,La universidad adopta lineamientos que obligan a declarar el uso de IA en todos los trabajos de titulación.,INSTITUCIONAL_UNIVERSIDAD,NUEVA,2026-09-04,CONTRASTADO,intento-3a,Diego Hernán Ojeda Cifuentes,"Política universitaria aplicable a Derecho, no dictada por la Facultad."
ev-uchile-016,src-uchile-016,ini-uchile-008,uchile,IA_PARA_DERECHO,uso-institucional,La Vicerrectoría de Tecnologías de la Información ofrece una capacitación institucional de 27 horas en IA generativa.,INSTITUCIONAL_UNIVERSIDAD,DESCONOCIDA,2026-09-04,CONTRASTADO,intento-3a,Diego Hernán Ojeda Cifuentes,Dirigida a toda la comunidad: no informa participación de Derecho.
ev-udp-001,src-udp-001,ini-udp-001,udp,IA_PARA_DERECHO,gobernanza,La Facultad crea una Dirección de Inteligencia Artificial y Derecho y nombra a Rafael Mery como su director.,FACULTAD_DERECHO,NUEVA,2026-09-04,CONTRASTADO,intento-2b; intento-3b,Diego Hernán Ojeda Cifuentes,"Lo orgánico está documentado; los cambios curriculares que la misma fuente anuncia, no."
ev-udp-002,src-udp-002,ini-udp-001,udp,IA_PARA_DERECHO,gobernanza,"La presentación institucional de la Dirección anuncia trabajo desde el primer semestre, un taller de IA en escritura legal y formación posterior sobre tecnología en la profesión.",FACULTAD_DERECHO,NUEVA,2026-09-04,CONTRASTADO,intento-3b,Diego Hernán Ojeda Cifuentes,"Anuncio. No consta ejecución, obligatoriedad ni matrícula."
ev-udp-003,src-udp-002,ini-udp-002,udp,IA_PARA_DERECHO,pregrado,"La presentación institucional de la Dirección anuncia trabajo desde el primer semestre, un taller de IA en escritura legal y formación posterior sobre tecnología en la profesión.",FACULTAD_DERECHO,DESCONOCIDA,2026-09-04,CONTRASTADO,intento-3b,Diego Hernán Ojeda Cifuentes,"Anuncio. No consta ejecución, obligatoriedad ni matrícula."
ev-udp-004,src-udp-003,ini-udp-003,udp,IA_PARA_DERECHO,investigacion,"La Vicerrectoría de Investigación e Innovación suscribe, con participación de Derecho, un convenio de I+D+i con Quantico y Merlín Research.",FACULTAD_DERECHO,NUEVA,,FUENTE_ABIERTA,intento-2b,,Convenio firmado sin evidencia pública de ejecución.
ev-uandes-001,src-uandes-001,ini-uandes-001,uandes,IA_PARA_DERECHO,investigacion,"Un proyecto FONDEF busca escalar y transferir una plataforma de IA que procesa normativa, jurisprudencia y datos para la evaluación ambiental.",EQUIPO,CONTINUA,,FUENTE_ABIERTA,intento-2b,,Consta por noticia universitaria; falta la verificación en ANID.
ev-uandes-002,src-uandes-002,ini-uandes-001,uandes,IA_PARA_DERECHO,investigacion,"La misma investigación se describe con un equipo interfacultades e interuniversitario de derecho, ingeniería, lingüística y ciencias ambientales, con participación de la PUCV.",EQUIPO,CONTINUA,,FUENTE_ABIERTA,intento-3b,,Segunda fuente sobre la misma iniciativa: no se cuenta dos veces.
ev-uandes-003,src-uandes-003,ini-uandes-002,uandes,IA_PARA_DERECHO,investigacion,"El CET e Ingeniería desarrollan DOMus AI, plataforma de revisión automatizada de normas y formularios de permisos de edificación.",INSTITUCIONAL_UNIVERSIDAD,DESCONOCIDA,2026-09-04,CONTRASTADO,intento-2b,Diego Hernán Ojeda Cifuentes,La unidad principal no es Derecho: la atribución es a la universidad.
ev-uandes-004,src-uandes-004,ini-uandes-003,uandes,DERECHO_DE_IA,formacion-continua,"La Facultad de Derecho dicta un curso de Compliance, ética pública y nuevas tecnologías que incluye legalidad y control en la implementación de IA por la Administración.",FACULTAD_DERECHO,DESCONOCIDA,,FUENTE_ABIERTA,intento-3b,,La fuente no declara fecha de publicación.
ev-uandes-005,src-uandes-005,ini-uandes-004,uandes,DERECHO_DE_IA,vinculacion,La Facultad de Derecho realiza un seminario sobre el uso de obras ajenas por sistemas de IA generativa y la excepción de minería de datos.,FACULTAD_DERECHO,NUEVA,,FUENTE_ABIERTA,intento-3b,,Actividad puntual.
ev-uai-001,src-uai-001,ini-uai-001,uai,IA_PARA_DERECHO,formacion-continua,"El Laboratorio de Justicia Centrada en las Personas dicta una nueva versión del curso de IA, ética y debido proceso para la Academia Judicial.",CENTRO_PROGRAMA,CONTINUA,,FUENTE_ABIERTA,intento-2b; intento-3b,,"La fuente declara una nueva versión: prueba recurrencia, no cobertura ni resultados."
ev-uai-002,src-uai-002,ini-uai-002,uai,IA_PARA_DERECHO,vinculacion,La Facultad de Derecho firma un convenio con la legaltech Legu para ampliar el acceso a información y servicios jurídicos mediante IA.,FACULTAD_DERECHO,NUEVA,2026-09-04,CONTRASTADO,intento-2b; intento-3b,Diego Hernán Ojeda Cifuentes,"Convenio firmado y fechado. Sin cobertura, productos ni resultados públicos."
ev-uai-003,src-uai-003,ini-uai-003,uai,DERECHO_DE_IA,investigacion,"Ricardo Lillo, de la Facultad de Derecho, se adjudica un Fondecyt Regular 2026 sobre el debido proceso en la era de la inteligencia artificial.",INDIVIDUAL,NUEVA,,FUENTE_ABIERTA,intento-3b,,Consta por noticia universitaria; falta la verificación en ANID.
ev-unab-001,src-unab-001,ini-unab-001,unab,IA_PARA_DERECHO,pregrado,La Facultad informa asistentes de IA generativa integrados en Canvas en asignaturas nombradas del primer ciclo de Derecho.,FACULTAD_DERECHO,DESCONOCIDA,,FUENTE_ABIERTA,intento-2b; intento-3b,,"Es una cuenta pública: la institución describiéndose a sí misma, sin verificación externa ni métricas de uso."
ev-unab-002,src-unab-002,ini-unab-002,unab,IA_PARA_DERECHO,vinculacion,"La Facultad de Derecho, Transferencia Tecnológica UNAB y la Superintendencia de Insolvencia y Reemprendimiento lanzan un asesor virtual de insolvencia basado en IA.",FACULTAD_DERECHO,NUEVA,,FUENTE_ABIERTA,intento-2b; intento-3b,,Transferencia a un servicio público; no informa uso ni resultados.
ev-unab-003,src-unab-003,ini-unab-003,unab,IA_PARA_DERECHO,uso-institucional,"La universidad inicia la implementación progresiva de MIAsistentes, un ecosistema institucional de asistentes virtuales.",INSTITUCIONAL_UNIVERSIDAD,NUEVA,2026-09-04,CONTRASTADO,intento-3b,Diego Hernán Ojeda Cifuentes,Capacidad de toda la universidad: no se atribuye adicionalmente a Derecho.
ev-unab-004,src-unab-004,ini-unab-004,unab,ADYACENTE,formacion-continua,"El postgrado ofrece un Diplomado en Derecho, Innovación y Tecnología.",FACULTAD_DERECHO,DESCONOCIDA,2026-09-04,CONTRASTADO,intento-2b,Diego Hernán Ojeda Cifuentes,Recuperada en la ronda 3. Falta comprobar si la IA es componente sustantivo: por ahora ADYACENTE.
ev-udd-001,src-udd-001,ini-udd-001,udd,IA_PARA_DERECHO,pregrado,La malla de Derecho declara una línea LegalTech e IA e incluye talleres de herramientas digitales e inteligencia artificial y de análisis de datos.,FACULTAD_DERECHO,DESCONOCIDA,2026-09-04,CONTRASTADO,intento-2b; intento-3b,Diego Hernán Ojeda Cifuentes,"La página está orientada a Admisión 2027: diseño curricular anunciado, no curso dictado."
ev-udd-002,src-udd-002,ini-udd-002,udd,IA_PARA_DERECHO,pregrado,Estudiantes de debate y litigación realizan entrenamiento práctico con tecnologías que incluyen IA y realidad virtual.,EQUIPO,DESCONOCIDA,,FUENTE_ABIERTA,intento-2b,,La realidad virtual no es IA: sólo el componente de IA cuenta como evidencia.
ev-udd-003,src-udd-003,ini-udd-003,udd,DERECHO_DE_IA,investigacion,El Doctorado en Derecho realiza un workshop sobre los desafíos regulatorios de la IA.,FACULTAD_DERECHO,NUEVA,,FUENTE_ABIERTA,intento-3b,,Actividad puntual de formación doctoral.
ev-udd-004,src-udd-004,ini-udd-004,udd,IA_PARA_DERECHO,vinculacion,"Un estudiante de Derecho y uno de Ingeniería Civil Informática desarrollan Hereda Fácil, que usa IA para posesiones efectivas intestadas.",ESTUDIANTIL,NUEVA,,FUENTE_ABIERTA,intento-3b,,Atribución estudiantil: no es una capacidad de la Facultad.
ev-uautonoma-001,src-uautonoma-001,ini-uautonoma-001,uautonoma,IA_PARA_DERECHO,uso-institucional,"Una decena de talleres alcanza cerca del 80 % del cuerpo docente de Derecho en Santiago, Talca y Temuco, y comienza la extensión a estudiantes.",FACULTAD_DERECHO,AMPLIADA,,FUENTE_ABIERTA,intento-2b; intento-3b,,Es la única cobertura docente cuantificada del corpus. Capacitar no es adoptar: cuántos docentes cambiaron su curso no consta.
ev-uautonoma-002,src-uautonoma-002,ini-uautonoma-002,uautonoma,IA_PARA_DERECHO,pregrado,La Facultad pone en marcha un programa de 18 semanas de IA aplicada para estudiantes de Clínicas Jurídicas en las tres sedes.,FACULTAD_DERECHO,NUEVA,,FUENTE_ABIERTA,intento-2b; intento-3b,,"En marcha al corte: programado en su mayor parte, no ejecutado."
ev-uautonoma-003,src-uautonoma-003,ini-uautonoma-003,uautonoma,AMBOS,pregrado,Estudiantes de Derecho egresan del Minor en Inteligencia Artificial y Derecho del año académico 2025.,FACULTAD_DERECHO,CONTINUA,,FUENTE_ABIERTA,intento-3b,,"La ceremonia es de enero de 2026 y el hecho, de 2025. No informa cuántos egresaron."
ev-ucentral-001,src-ucentral-001,ini-ucentral-001,ucentral,IA_PARA_DERECHO,uso-institucional,"La Facultad presenta Docente iLex, asistente generativo propio para retroalimentación, rúbricas, casos y metodologías activas.",FACULTAD_DERECHO,DESCONOCIDA,,FUENTE_ABIERTA,intento-2b,,Herramienta desarrollada por la propia Facultad. Falta comprobar vigencia en 2026.
ev-ucentral-002,src-ucentral-003,ini-ucentral-002,ucentral,AMBOS,gobernanza,"La Facultad mantiene la página oficial del Programa de IA & LegalTech, cuya misión declarada integra investigación aplicada, productos, educación avanzada e innovación.",FACULTAD_DERECHO,INSTITUCIONALIZADA,2026-09-04,CONTRASTADO,intento-3b,Diego Hernán Ojeda Cifuentes,Sustituye la denominación «Cátedra LegalTech». Falta el acto formal de creación.
ev-ucentral-003,src-ucentral-002,ini-ucentral-003,ucentral,DERECHO_DE_IA,investigacion,"La revista del Doctorado dedica un número a inteligencia artificial, responsabilidad algorítmica y derechos fundamentales.",CENTRO_PROGRAMA,NUEVA,,FUENTE_ABIERTA,intento-2b; intento-3b,,Producción investigativa; no informa indexación ni impacto.
ev-ucentral-004,src-ucentral-004,ini-ucentral-004,ucentral,IA_PARA_DERECHO,uso-institucional,"La universidad presenta IDEA UCEN, plataforma institucional de búsqueda con IA.",INSTITUCIONAL_UNIVERSIDAD,DESCONOCIDA,2026-09-04,CONTRASTADO,intento-2b,Diego Hernán Ojeda Cifuentes,Recuperada en la ronda 3. Herramienta heredada: falta comprobar vigencia en 2026.
ev-udec-001,src-udec-001,ini-udec-001,udec,IA_PARA_DERECHO,vinculacion,"La Facultad realiza una sesión con demostraciones de modelos de lenguaje para lectura, investigación, redacción y argumentación jurídica.",FACULTAD_DERECHO,NUEVA,2026-09-04,CONTRASTADO,intento-2b; intento-3b,Diego Hernán Ojeda Cifuentes,Actividad puntual.
ev-udec-002,src-udec-002,ini-udec-002,udec,AMBOS,vinculacion,"La Facultad realiza un seminario interdisciplinario sobre IA, regulación, práctica jurídica, cibercrimen e innovación.",FACULTAD_DERECHO,DESCONOCIDA,2026-09-04,CONTRASTADO,intento-2b,Diego Hernán Ojeda Cifuentes,Su dominio tiene el certificado mal configurado: el enlace mostrará una advertencia de seguridad.
ev-udec-003,src-udec-003,ini-udec-003,udec,IA_PARA_DERECHO,uso-institucional,"La Facultad realiza un taller presencial para sus académicos sobre uso crítico, responsable y pedagógico de IA generativa en docencia, evaluación e investigación.",FACULTAD_DERECHO,DESCONOCIDA,,FUENTE_ABIERTA,intento-3b,,La fuente no declara fecha de publicación.
ev-udec-004,src-udec-004,ini-udec-004,udec,ADYACENTE,uso-institucional,"[genIA] es un programa interdisciplinario institucional con roadmap 2026, formación, tecnología y ética.",INSTITUCIONAL_UNIVERSIDAD,DESCONOCIDA,2026-09-04,CONTRASTADO,intento-3b,Diego Hernán Ojeda Cifuentes,"Acredita una capacidad de toda la universidad, no una estructura de Derecho."
