initiative_id,university_id,name,institutional_level,direction,primary_dimension,mechanism_type,start_date,end_date,current_status,temporal_change,audience,coverage,responsible_unit,products,outcomes,workflow_status,source_ids,notes
ini-puc-chile-002,puc-chile,Diplomado en Derecho e Inteligencia Artificial,CENTRO_PROGRAMA,AMBOS,formacion-continua,PROGRAMA_FORMATIVO,2024,,3,CONTINUA,Profesionales,Dos cohortes graduadas,"Programa de Derecho, Ciencia y Tecnología y Educación Continua UC",Cohortes 2024 y 2025 graduadas; cohorte 2026 en ejecución,Graduaciones documentadas; ningún resultado de aprendizaje publicado,PROPUESTO,src-puc-chile-002; src-puc-chile-003; src-puc-chile-011,Único eje del corpus con serie temporal: dos graduaciones sucesivas más una cohorte en curso.
ini-puc-chile-003,puc-chile,Departamento de Derecho y Tecnología,FACULTAD_DERECHO,DERECHO_DE_IA,gobernanza,UNIDAD,2025-12-31,,3,NUEVA,Facultad,Unidad de Facultad,Facultad de Derecho UC,Unidad orgánica,No publicados,PROPUESTO,src-puc-chile-004; src-puc-chile-005; src-puc-chile-007,Reclasificada 04-09-2026 (ISSUE-024). Unidad orgánica con mandato publicado que incluye inteligencia artificial, y con evidencia propia de IA en el corpus: ev-puc-chile-008 registra el análisis de la ética de la inteligencia artificial realizado por academicos del Departamento, con fuente contrastada. Se registra DERECHO_DE_IA. Consta en la estructura orgánica publicada; sigue faltando el documento constitutivo (L-6).
ini-puc-chile-004,puc-chile,Guía ética para el uso de IA generativa,FACULTAD_DERECHO,IA_PARA_DERECHO,gobernanza,NORMA,2026-08-21,,3,NUEVA,Estudiantes y docentes de Derecho,Facultad completa,Facultad de Derecho UC,Guía publicada,No publicados,PROPUESTO,src-puc-chile-008,"Gobernanza dictada por la propia Facultad, no por la universidad. Es el caso más claro del corpus de política facultativa."
ini-puc-chile-005,puc-chile,Opción declarable de IA en el formulario de condiciones y evaluaciones,FACULTAD_DERECHO,IA_PARA_DERECHO,uso-institucional,NORMA,2026-05,,2,NUEVA,Docentes,No publicada,Facultad de Derecho UC,Mecanismo formal,Ninguna métrica de adopción por curso,PROPUESTO,src-puc-chile-006,"Prueba el mecanismo, no su uso. Cuántos cursos lo activaron queda pendiente."
ini-puc-chile-006,puc-chile,AyudantIA UC,INSTITUCIONAL_UNIVERSIDAD,IA_PARA_DERECHO,uso-institucional,HERRAMIENTA,2025,,2,DESCONOCIDA,Comunidad universitaria,Universidad completa,Pontificia Universidad Católica de Chile,Plataforma de agentes por curso,Ninguna métrica publicada sobre Derecho,PROPUESTO,src-puc-chile-012,La fuente no identifica a la Facultad de Derecho: se atribuye a la universidad. Su alcance sobre Derecho está pendiente.
ini-puc-chile-007,puc-chile,Seminarios sobre impacto jurídico de la IA,CENTRO_PROGRAMA,DERECHO_DE_IA,vinculacion,ACTIVIDAD,2025-04-03,,1,DESCONOCIDA,Comunidad académica,No publicada,"Programa de Derecho, Ciencia y Tecnología UC",Seminarios,No publicados,PROPUESTO,src-puc-chile-010,Actividad de vinculación específica en IA.
ini-uchile-001,uchile,"Centro de Estudios en Derecho, Tecnología y Sociedad (CE3)",CENTRO_PROGRAMA,DERECHO_DE_IA,gobernanza,UNIDAD,1988,,3,CONTINUA,Facultad y comunidad externa,No publicada,"Facultad de Derecho, Universidad de Chile","Publicaciones, tesis, actividades y programas",No publicados,PROPUESTO,src-uchile-001; src-uchile-007; src-uchile-011; src-uchile-010; src-uchile-012,Reclasificado 04-09-2026 (ISSUE-024). Centro histórico de derecho y tecnología; adoptó el nombre CE3 el 01-01-2025. Su especificidad en IA consta en el corpus con dos evidencias propias: ev-uchile-004, sobre la excepción de derechos de autor en el entrenamiento de sistemas de IA, y ev-uchile-005, el seminario de inteligencia artificial y acceso a la justicia. Se registra DERECHO_DE_IA. Las cinco fuentes del registro estan abiertas y ninguna ha pasado la verificación sustantiva.
ini-uchile-002,uchile,Diploma en Derecho e Inteligencia Artificial,CENTRO_PROGRAMA,AMBOS,formacion-continua,PROGRAMA_FORMATIVO,2022,,2,DESCONOCIDA,Profesionales,No publicada,"CE3, antes CEDI",Ediciones 2022 y 2026 documentadas,No publicados,PROPUESTO,src-uchile-002; src-uchile-003,"Verificada 04-09-2026: baja del nivel 3 al 2. La edición 2022 está cerrada («Diploma 2022 Cerrado») y la de 2026 es un anuncio que la propia página declara referencial, con reserva de suspensión. Entre ambas no hay edición localizada y cambia la unidad que lo dicta: Centro de Estudios en Derecho Informático en 2022, CE3 en 2026. Sin continuidad no hay institucionalización (kit §11)."
ini-uchile-003,uchile,"Proyecto sobre IA, responsabilidad civil y derecho del consumo",EQUIPO,DERECHO_DE_IA,investigacion,PROYECTO,2024,,2,CONTINUA,Comunidad académica,No publicada,Departamento de Derecho Privado,Congreso internacional y workshop,No publicados,PROPUESTO,src-uchile-004; src-uchile-008; src-uchile-009,Proyecto de internacionalización adjudicado al Departamento; monto no localizado.
ini-uchile-004,uchile,Línea de tesis sobre inteligencia artificial,CENTRO_PROGRAMA,AMBOS,investigacion,PUBLICACION,2008,,2,CONTINUA,Estudiantes de postgrado,No publicada,CE3,Tesis entre 2008 y 2025,No publicados,PROPUESTO,src-uchile-005; src-uchile-006,Categoría específica de IA dentro del repositorio del centro.
ini-uchile-005,uchile,Programa de Visitas Académicas de América Latina y el Caribe,CENTRO_PROGRAMA,AMBOS,vinculacion,ACTIVIDAD,2026-04-02,,1,NUEVA,Académicos de la región,No publicada,CE3,Convocatoria,No publicados,PROPUESTO,src-uchile-013,"Convocatoria abierta al corte: PROGRAMADA, no ejecutada."
ini-uchile-006,uchile,Diploma en Derecho e IA para la Contraloría General de la República,FACULTAD_DERECHO,AMBOS,formacion-continua,PROGRAMA_FORMATIVO,2025-07,2025-11,2,DESCONOCIDA,Funcionarios públicos,Alcance nacional,"Facultad de Derecho, Universidad de Chile",Diploma ejecutado,No publicados,PROPUESTO,src-uchile-014,El documento fuente no pudo abrir el original: el registro queda PROPUESTO.
ini-uchile-007,uchile,Lineamientos sobre uso de IA en trabajos de titulación,INSTITUCIONAL_UNIVERSIDAD,IA_PARA_DERECHO,gobernanza,NORMA,2026,,3,NUEVA,Estudiantes de toda la universidad,Universidad completa,Universidad de Chile,Lineamientos publicados,No publicados,PROPUESTO,src-uchile-015,"Política universitaria aplicable a Derecho, no dictada por la Facultad."
ini-uchile-008,uchile,Capacitación institucional en IA generativa,INSTITUCIONAL_UNIVERSIDAD,IA_PARA_DERECHO,uso-institucional,PROGRAMA_FORMATIVO,2025-09-09,,2,DESCONOCIDA,Comunidad universitaria,Universidad completa,Vicerrectoría de Tecnologías de la Información,Curso de 27 horas,Ninguna métrica publicada sobre Derecho,PROPUESTO,src-uchile-016,"Derriba el cero heredado de uso interno, a nivel de universidad y no de Facultad."
ini-udp-001,udp,Dirección de Inteligencia Artificial y Derecho,FACULTAD_DERECHO,IA_PARA_DERECHO,gobernanza,UNIDAD,2025-09-12,,3,NUEVA,Facultad,Facultad completa,Facultad de Derecho UDP,Unidad con dirección nombrada,No publicados,PROPUESTO,src-udp-001; src-udp-002,"Lo orgánico está documentado; la innovación curricular que anuncia, no. El registro se parte en dos en vez de promediarse (L-3)."
ini-udp-002,udp,Innovación curricular anunciada por la Dirección de IA y Derecho,FACULTAD_DERECHO,IA_PARA_DERECHO,pregrado,ASIGNATURA,2026,,1,DESCONOCIDA,Estudiantes de pregrado,No publicada,Facultad de Derecho UDP,Taller de IA en escritura legal anunciado,No publicados,PROPUESTO,src-udp-002,"Anuncio, no ejecución acreditada. Faltan syllabus con obligatoriedad, semestre y créditos (L-7)."
ini-udp-003,udp,Convenio I+D+i con Quantico y Merlín Research,FACULTAD_DERECHO,IA_PARA_DERECHO,investigacion,CONVENIO,2026-04-07,,1,NUEVA,Investigadores,No publicada,Vicerrectoría de Investigación e Innovación con Derecho,Convenio suscrito,No publicados,PROPUESTO,src-udp-003,Convenio firmado. No hay evidencia pública de ejecución.
ini-uandes-001,uandes,Proyecto FONDEF de IA para certeza jurídica en evaluación ambiental,EQUIPO,IA_PARA_DERECHO,investigacion,PROYECTO,2025-09-22,,2,CONTINUA,Equipo de investigación,No publicada,"Equipo interfacultades e interuniversitario, con participación de la PUCV",Plataforma en desarrollo,No publicados,PROPUESTO,src-uandes-001; src-uandes-002,"Dos fuentes, una sola iniciativa. Consta por noticia universitaria; falta verificación en ANID (L-8)."
ini-uandes-002,uandes,DOMus AI,INSTITUCIONAL_UNIVERSIDAD,IA_PARA_DERECHO,investigacion,HERRAMIENTA,2025-10-27,,1,DESCONOCIDA,Sector público y construcción,No publicada,CET e Ingeniería,Prototipo finalista,No publicados,PROPUESTO,src-uandes-003,"La unidad principal no es Derecho: se atribuye a la universidad, no a la Facultad."
ini-uandes-003,uandes,"Curso en Compliance, ética pública y nuevas tecnologías",FACULTAD_DERECHO,DERECHO_DE_IA,formacion-continua,PROGRAMA_FORMATIVO,2026-08-05,,2,DESCONOCIDA,Profesionales,No publicada,Facultad de Derecho UANDES,Curso en ejecución,No publicados,PROPUESTO,src-uandes-004,Incluye legalidad y control en la implementación de IA por la Administración.
ini-uandes-004,uandes,Seminario sobre uso de obras ajenas por sistemas de IA generativa,FACULTAD_DERECHO,DERECHO_DE_IA,vinculacion,ACTIVIDAD,2026-05-14,2026-05-14,1,NUEVA,Comunidad académica,No publicada,Facultad de Derecho UANDES,Seminario,No publicados,PROPUESTO,src-uandes-005,
ini-uai-001,uai,Laboratorio de Justicia Centrada en las Personas · curso de IA para la Academia Judicial,CENTRO_PROGRAMA,IA_PARA_DERECHO,formacion-continua,PROGRAMA_FORMATIVO,2026-04-22,,2,CONTINUA,Jueces y funcionarios judiciales,No publicada,"Laboratorio de Justicia Centrada en las Personas, Facultad de Derecho UAI",Curso dictado,No publicados,PROPUESTO,src-uai-001,"La fuente declara una nueva versión: prueba recurrencia, no cobertura."
ini-uai-002,uai,Convenio con la legaltech Legu,FACULTAD_DERECHO,IA_PARA_DERECHO,vinculacion,CONVENIO,2026-01-06,,1,NUEVA,No publicada,No publicada,Facultad de Derecho UAI,Convenio firmado,No publicados,PROPUESTO,src-uai-002,"Existir no es funcionar: sin cobertura, productos ni resultados públicos (L-3)."
ini-uai-003,uai,Fondecyt Regular 2026 sobre debido proceso en la era de la IA,INDIVIDUAL,DERECHO_DE_IA,investigacion,PROYECTO,2026,,2,NUEVA,Investigación,No aplica,Facultad de Derecho UAI,Proyecto adjudicado,No publicados,PROPUESTO,src-uai-003,Adjudicación individual. Consta por noticia universitaria; falta verificación en ANID (L-8).
ini-unab-001,unab,Asistentes de IA generativa integrados en Canvas,FACULTAD_DERECHO,IA_PARA_DERECHO,pregrado,HERRAMIENTA,2025,,2,DESCONOCIDA,Estudiantes de primer ciclo,Tres asignaturas nombradas,Facultad de Derecho UNAB,Asistentes desplegados,Ninguna medición de efecto,PROPUESTO,src-unab-001,La cuenta pública es la institución describiéndose a sí misma. Asignaturas nombradas es más de lo que consta en el resto del corpus.
ini-unab-002,unab,Asesor Virtual de Insolvencia,FACULTAD_DERECHO,IA_PARA_DERECHO,vinculacion,HERRAMIENTA,2025-10-23,,2,NUEVA,Público general,No publicada,Facultad de Derecho y Transferencia Tecnológica UNAB con la Superintendencia de Insolvencia y Reemprendimiento,Herramienta pública,No publicados,PROPUESTO,src-unab-002,Transferencia a un servicio público con IA aplicada al Derecho.
ini-unab-003,unab,MIAsistentes,INSTITUCIONAL_UNIVERSIDAD,IA_PARA_DERECHO,uso-institucional,HERRAMIENTA,2026-08-31,,1,NUEVA,Comunidad universitaria,Universidad completa,Universidad Andrés Bello,Ecosistema en implementación progresiva,No publicados,PROPUESTO,src-unab-003,Capacidad de toda la universidad. No se atribuye adicionalmente a Derecho.
ini-unab-004,unab,"Diplomado en Derecho, Innovación y Tecnología",FACULTAD_DERECHO,IA_PARA_DERECHO,formacion-continua,PROGRAMA_FORMATIVO,,,1,DESCONOCIDA,Profesionales,No publicada,Postgrado UNAB,Programa ofertado,No publicados,PROPUESTO,src-unab-004,Reclasificada 04-09-2026 (ISSUE-024) por decisión editorial, y es la más débil de las tres. Se registra IA_PARA_DERECHO por el ámbito declarado del programa —innovación y tecnología jurídica—, NO por evidencia de contenido: la única fuente del registro es el anuncio del diplomado y no menciona inteligencia artificial. El programa de estudios no se ha abierto. Es el primer registro que debe verificarse: si la IA no resulta componente sustantivo, vuelve a ADYACENTE.
ini-udd-001,udd,Malla de Derecho con línea LegalTech e IA,FACULTAD_DERECHO,IA_PARA_DERECHO,pregrado,ASIGNATURA,2027,,1,DESCONOCIDA,Estudiantes de pregrado,No publicada,Facultad de Derecho UDD,Talleres declarados en la malla,No publicados,PROPUESTO,src-udd-001,"Página orientada a Admisión 2027: diseño curricular anunciado, no curso dictado (L-3)."
ini-udd-002,udd,Entrenamiento con IA y realidad virtual en RealitecUDD,EQUIPO,IA_PARA_DERECHO,pregrado,ASIGNATURA,2025-04-09,,1,DESCONOCIDA,Estudiantes de debate y litigación,No publicada,Facultad de Derecho UDD,Sesiones de entrenamiento,No publicados,PROPUESTO,src-udd-002,La realidad virtual no es IA: sólo cuenta el componente de IA.
ini-udd-003,udd,Workshop del Doctorado sobre regulación de la IA,FACULTAD_DERECHO,DERECHO_DE_IA,investigacion,ACTIVIDAD,2026-01-14,2026-01-14,1,NUEVA,Doctorandos,No publicada,Doctorado en Derecho UDD,Workshop,No publicados,PROPUESTO,src-udd-003,
ini-udd-004,udd,Hereda Fácil,ESTUDIANTIL,IA_PARA_DERECHO,vinculacion,HERRAMIENTA,2026-06-30,,1,NUEVA,Público general,No publicada,Estudiantes de Derecho e Ingeniería Civil Informática,Prototipo reconocido en Incuba UDD,No publicados,PROPUESTO,src-udd-004,Atribución estudiantil. No es una capacidad de la Facultad.
ini-uautonoma-001,uautonoma,Alfabetización en IA generativa del cuerpo docente de Derecho,FACULTAD_DERECHO,IA_PARA_DERECHO,uso-institucional,PROGRAMA_FORMATIVO,2026-05-27,,3,AMPLIADA,Docentes de Derecho,Cerca del 80 % del cuerpo docente en tres sedes,"Facultad de Derecho, Universidad Autónoma",Una decena de talleres,Cobertura declarada; ninguna medición de efecto,PROPUESTO,src-uautonoma-001,Derriba el cero heredado de uso interno. Capacitar no es adoptar: cuántos docentes implementaron después actividades en sus cursos queda pendiente.
ini-uautonoma-002,uautonoma,Programa de IA aplicada a las Clínicas Jurídicas,FACULTAD_DERECHO,IA_PARA_DERECHO,pregrado,PROGRAMA_FORMATIVO,2026-08-10,,2,NUEVA,Estudiantes de clínicas,"Tres sedes, diurno y vespertino","Facultad de Derecho, Universidad Autónoma",Programa de 18 semanas,No publicados,PROPUESTO,src-uautonoma-002,"En marcha al corte: PROGRAMADO en su mayor parte, no EJECUTADO."
ini-uautonoma-003,uautonoma,Minor en Inteligencia Artificial y Derecho,FACULTAD_DERECHO,AMBOS,pregrado,PROGRAMA_FORMATIVO,2025,,3,CONTINUA,Estudiantes de pregrado,No publicada,"Facultad de Derecho, Universidad Autónoma",Primera cohorte egresada,Egreso documentado; ningún resultado de aprendizaje publicado,PROPUESTO,src-uautonoma-003,Trayectoria curricular con una cohorte completada. Faltan syllabus con obligatoriedad y matrícula (L-7).
ini-ucentral-001,ucentral,Docente iLex,FACULTAD_DERECHO,IA_PARA_DERECHO,uso-institucional,HERRAMIENTA,2025-12-03,,2,DESCONOCIDA,Docentes de Derecho,No publicada,"Facultad de Ciencias Jurídicas y Sociales, Universidad Central",Asistente generativo,Reconocimiento externo; ninguna medición de aprendizaje,PROPUESTO,src-ucentral-001,Herramienta desarrollada por la propia Facultad. Falta comprobar vigencia en 2026 (L-10).
ini-ucentral-002,ucentral,Programa de IA & LegalTech,FACULTAD_DERECHO,AMBOS,gobernanza,UNIDAD,2026,,3,INSTITUCIONALIZADA,Facultad,Facultad completa,"Facultad de Ciencias Jurídicas y Sociales, Universidad Central",Página institucional del programa,No publicados,PROPUESTO,src-ucentral-003,"Sustituye la denominación «Cátedra LegalTech» del antecedente, que se conserva como antecedente. Falta el acto formal de creación (L-6)."
ini-ucentral-003,ucentral,Revista DIE · número sobre IA y derechos fundamentales,CENTRO_PROGRAMA,DERECHO_DE_IA,investigacion,PUBLICACION,2026-08-25,,2,NUEVA,Comunidad académica,No aplica,"Doctorado en Derecho, Universidad Central",Número publicado,No publicados,PROPUESTO,src-ucentral-002,
ini-ucentral-004,ucentral,IDEA UCEN,INSTITUCIONAL_UNIVERSIDAD,IA_PARA_DERECHO,uso-institucional,HERRAMIENTA,,,1,DESCONOCIDA,Comunidad universitaria,Universidad completa,Universidad Central de Chile,Plataforma de búsqueda,No publicados,PROPUESTO,src-ucentral-004,Recuperada en la ronda 3. Herramienta heredada: falta comprobar vigencia en 2026 antes de presentarla como stock actual (L-10).
ini-udec-001,udec,Seminario «IA para Abogados»,FACULTAD_DERECHO,IA_PARA_DERECHO,vinculacion,ACTIVIDAD,2026-04-21,2026-04-21,1,NUEVA,Comunidad jurídica,No publicada,Facultad de Ciencias Jurídicas y Sociales UdeC,Seminario con demostraciones,No publicados,PROPUESTO,src-udec-001,
ini-udec-002,udec,Seminario «Derecho en la Smart Era»,ESTUDIANTIL,AMBOS,vinculacion,ACTIVIDAD,2025-10-02,2025-10-02,1,DESCONOCIDA,Comunidad jurídica,No publicada,Centro de Alumnas y Alumnos de Derecho Concepción,Seminario,No publicados,PROPUESTO,src-udec-002,"Verificada 04-09-2026: ISSUE-002 cerrado, la página carga. Reatribuida de FACULTAD_DERECHO a ESTUDIANTIL: la organiza el Centro de Alumnas y Alumnos, no la Facultad. El año 2025 se infiere del día de la semana declarado, no está en la página."
ini-udec-003,udec,Taller de inteligencia artificial para académicos,FACULTAD_DERECHO,IA_PARA_DERECHO,uso-institucional,PROGRAMA_FORMATIVO,,,1,DESCONOCIDA,Académicos de la Facultad,No publicada,Facultad de Ciencias Jurídicas y Sociales UdeC,Taller presencial,No publicados,PROPUESTO,src-udec-003,La fuente no declara fecha de publicación.
ini-udec-004,udec,[genIA],INSTITUCIONAL_UNIVERSIDAD,IA_PARA_DERECHO,uso-institucional,HERRAMIENTA,2026-02-10,,2,DESCONOCIDA,Comunidad universitaria,Universidad completa,Universidad de Concepción,"Roadmap 2026, formación y tecnología",No publicados,PROPUESTO,src-udec-004,Reverificada 04-09-2026 (ISSUE-024). Programa interdisciplinario de toda la universidad, no de la Escuela de Derecho. Esa condicion la registra institutional_level, que dice INSTITUCIONAL_UNIVERSIDAD; direction responde otra pregunta —la relacion con la inteligencia artificial— y un programa de IA generativa no le es adyacente. Se corrige a IA_PARA_DERECHO: la celda pasa a decir que la capacidad existe en el entorno universitario y no que sea de otro ambito.
